0.00000	0.00000	0.00000	0.00000	0.00000	0.50163
0.01000	0.00495	0.00038	0.00000	0.00006	0.49518
0.02000	0.01081	0.00159	0.00012	0.00006	0.49023
0.03000	0.01627	0.00248	0.00012	0.00012	0.48490
0.04000	0.02115	0.00277	0.00012	0.00012	0.47918
0.05000	0.02775	0.00439	0.00018	0.00012	0.47434
0.06000	0.00375	0.00019	0.00001	0.00006	0.48483
0.07000	0.00419	0.00022	0.00000	0.00006	0.48232
0.08000	0.00461	0.00054	0.00011	0.00006	0.48026
0.09000	0.00840	0.00108	0.00012	0.00012	0.47575
0.10000	0.01153	0.00189	0.00019	0.00012	0.46895
0.11000	0.01184	0.00227	0.00018	0.00012	0.46665
0.12000	0.01522	0.00255	0.00018	0.00018	0.46140
0.13000	0.01931	0.00316	0.00018	0.00012	0.45580
0.14000	0.02375	0.00467	0.00019	0.00018	0.45038
0.15000	0.02701	0.00575	0.00024	0.00018	0.44586
0.16000	0.03162	0.00665	0.00024	0.00019	0.44059
0.17000	0.03002	0.00637	0.00024	0.00018	0.43730
0.18000	0.01629	0.00455	0.00019	0.00018	0.43581
0.19000	0.02183	0.00578	0.00024	0.00024	0.42813
0.20000	0.02356	0.00677	0.00024	0.00018	0.42333
0.21000	0.02564	0.00721	0.00030	0.00018	0.41474
0.22000	0.03600	0.01083	0.00031	0.00024	0.40618
0.23000	0.04050	0.01267	0.00031	0.00024	0.39619
0.24000	0.03056	0.01060	0.00031	0.00031	0.39689
0.25000	0.03812	0.01301	0.00030	0.00024	0.39069
0.26000	0.04669	0.01461	0.00031	0.00024	0.38021
0.27000	0.04479	0.01635	0.00037	0.00031	0.37273
0.28000	0.04983	0.01701	0.00036	0.00036	0.36536
0.29000	0.06279	0.02291	0.00042	0.00037	0.34998
0.30000	0.06239	0.02245	0.00055	0.00049	0.34687
0.31000	0.07625	0.03086	0.00037	0.00031	0.32891
0.32000	0.08405	0.03343	0.00049	0.00044	0.32230
0.33000	0.08980	0.03335	0.00043	0.00043	0.30955
0.34000	0.10615	0.03781	0.00043	0.00037	0.29627
0.35000	0.12235	0.04409	0.00043	0.00043	0.28047
0.36000	0.13302	0.04757	0.00083	0.00071	0.27186
0.37000	0.15529	0.05861	0.00098	0.00062	0.24938
0.38000	0.14273	0.05206	0.00049	0.00049	0.25409
0.39000	0.16859	0.06102	0.00092	0.00055	0.23620
0.40000	0.20042	0.07072	0.00071	0.00049	0.21090
0.41000	0.23773	0.08285	0.00078	0.00061	0.18043
0.42000	0.26216	0.09006	0.00111	0.00096	0.16297
0.43000	0.27310	0.09241	0.00098	0.00092	0.15317
0.44000	0.31863	0.10736	0.00073	0.00073	0.12281
0.45000	0.34097	0.11349	0.00080	0.00074	0.10626
0.46000	0.37165	0.12277	0.00086	0.00086	0.08657
0.47000	0.38965	0.12614	0.00104	0.00098	0.07262
0.48000	0.42227	0.13679	0.00104	0.00092	0.04958
0.49000	0.45251	0.14464	0.00098	0.00092	0.03140
0.50000	0.48303	0.15396	0.00102	0.00090	0.01268
